date, pm25, pm10, o3, so2
2016/4/5, 55, 45, , 
2016/4/6, 63, 31, , 
2016/4/7, 73, 14, , 
2016/4/8, 48, 22, , 
2016/4/9, 34, 29, , 
2016/4/10, 56, 30, , 
2016/4/11, 62, 39, , 
2016/4/12, 61, 41, , 
2016/4/13, 84, , , 
2016/4/14, 66, 1, , 
2016/4/15, 50, 4, , 
2016/4/16, 27, 18, , 
2016/4/17, 49, 18, , 
2016/4/18, 46, 27, , 
2016/4/19, 53, 21, , 
2016/4/20, 55, 22, , 
2016/4/21, 50, 33, , 
2016/4/22, 55, 26, , 
2016/4/23, 63, 9, , 
2016/4/24, 43, 5, , 
2016/4/25, 32, 1, , 
2016/4/26, 44, 1, , 
2016/4/27, 63, 18, , 
2016/4/28, 101, 68, , 
2016/4/29, 124, 50, , 
2016/4/30, 140, 45, , 61
2016/5/1, 123, 31, , 41
2016/5/2, 113, 22, , 33
2016/5/3, 76, 22, , 
2016/5/4, 66, 23, , 
2016/5/5, 64, 28, , 
2016/5/6, 76, 27, , 
2016/5/7, 63, 33, , 
2016/5/8, 91, 22, , 
2016/5/9, 71, 31, , 
2016/5/10, 69, 46, , 
2016/5/11, 88, 33, , 
2016/5/12, 97, 19, , 
2016/5/13, 56, 23, , 
2016/5/14, 64, 16, , 
2016/5/15, 65, 14, , 
2016/5/16, 52, 29, , 
