date, pm25, pm10, o3, no2, so2, co
2023/4/18, 56, 53, 20, 9, 24, 1
2023/4/19, 65, 54, 22, 11, 17, 2
2023/4/20, 61, 25, 17, 6, 3, 1
2023/4/21, 28, 24, 17, 7, 5, 1
2023/4/22, 30, 23, 15, 9, 7, 1
2023/4/23, 43, 19, 18, 4, 4, 1
2023/4/24, 32, 16, 17, 7, 4, 1
2023/4/25, 37, 20, 20, 7, 4, 2
2023/4/26, 45, 30, 27, 10, 6, 2
2023/4/27, 61, 31, 26, 8, 3, 2
2023/4/28, 51, 18, 21, 7, 4, 1
2023/4/29, 25, 12, 18, 4, 3, 1
2023/4/30, 27, 39, 19, 3, 3, 1
2023/5/1, 43, 47, 20, 6, 3, 1
2023/5/2, 53, 40, 19, 10, 17, 2
2023/5/3, 55, 37, 21, 12, 21, 2
2023/5/4, 68, 30, 22, 9, 5, 1
2023/5/5, 53, 45, 18, 14, 20, 2
2023/5/6, 87, 35, 19, 11, 6, 2
2023/5/7, 55, 45, 25, 11, 26, 3
2023/5/8, 90, 37, 17, 15, 18, 3
2023/5/9, 76, 31, 17, 15, 7, 3
2023/5/10, 63, 56, 17, 15, 8, 3
2023/5/11, 86, 34, 22, 10, 6, 2
2023/5/12, 51, 60, 23, 10, 11, 2
2023/5/13, 87, 45, 24, 8, 7, 3
2023/5/14, 77, 29, 17, 9, 10, 2
2023/5/15, 63, 24, 14, 10, 9, 2
2023/5/16, 35, 30, 10, 14, 12, 2
2023/5/17, 58, 53, 14, 7, 6, 1
2023/5/18, 67, 54, 19, 10, 17, 2
2023/5/19, 79, 48, 20, 10, 10, 2
2023/5/20, 76, 50, 25, 9, 6, 2
2023/5/21, 72, 31, 21, 6, 3, 1
2023/5/22, 53, 17, 15, 8, 4, 1
2023/5/23, 20, 32, 11, 10, 13, 1
2023/5/24, 51, 64, 16, 8, 18, 1
2023/5/25, 86, 95, 14, 10, 12, 2
2023/5/26, 120, 52, 17, 8, 5, 1
2023/5/27, 56, 45, 17, 8, 6, 1
2023/5/28, 52, 37, 16, 11, 11, 2
2023/5/29, 57, 33, 16, 9, 6, 2
2023/5/30, 59, 27, 17, 12, 10, 2
2023/5/31, 59, 50, 22, 13, 6, 3
2023/6/1, 77, 36, 16, 9, 4, 2
2023/6/2, 58, 21, 16, 9, 4, 2
2023/6/3, 42, 36, 13, 8, 3, 2
2023/6/4, 55, 69, 16, 7, 4, 2
2023/6/5, 77, 53, 15, 10, 4, 2
2023/6/6, 63, 46, 12, 12, 4, 3
2023/6/7, 61, 46, 18, 10, 3, 2
2023/6/8, 67, 22, 17, 8, 1, 2
2023/6/9, 38, 20, 20, 5, 1, 1
2023/6/10, 24, 38, 20, 4, 1, 1
2023/6/11, 32, 41, 18, 6, 1, 2
2023/6/12, 50, 34, 15, 11, 1, 2
2023/6/13, 60, 32, 18, 14, 2, 3
2023/6/14, 61, 36, 12, 21, 3, 4
2023/6/15, 74, 43, 22, 15, 2, 4
2023/6/16, 78, 47, 17, 13, 3, 3
2023/6/17, 76, 27, 20, 14, 2, 3
2023/6/18, 56, 26, 16, 12, 2, 2
2023/6/19, 59, 28, 18, 11, 2, 2
2023/6/20, 46, 24, 11, 13, 2, 3
2023/6/21, 42, 19, 4, 15, 3, 2
2023/6/22, 39, 12, 16, 12, 2, 2
2023/6/23, 26, 9, 12, 8, 1, 2
2023/6/24, 27, 11, 13, 8, 1, 2
2023/6/25, 28, 12, 12, 7, 2, 2
2023/6/26, 25, 24, 14, 6, 1, 2
2023/6/27, 35, 47, 14, 9, 2, 2
2023/6/28, 52, 39, 11, 11, 2, 3
2023/6/29, 44, 37, 12, 15, 3, 3
2023/6/30, 59, 46, 17, 18, 3, 3
2023/7/1, 69, 48, 17, 13, 3, 3
2023/2/14, 48, 56, 17, 4, 7, 
2023/2/15, 58, 52, 17, 4, 3, 1
2023/2/16, 50, 41, 15, 3, 3, 1
2023/2/17, 36, 47, 17, 4, 3, 1
2023/2/18, 59, 55, 18, 6, 7, 1
2023/2/19, 65, 39, 20, 4, 3, 1
2023/2/20, 53, 47, 23, 4, 3, 1
2023/2/21, 67, 45, 14, 4, 3, 1
2023/2/22, 52, 50, 18, 6, 3, 1
2023/2/23, 63, 43, 22, 4, 3, 1
2023/2/24, 54, 31, 21, 4, 3, 1
2023/2/25, 54, 36, 12, 4, 3, 
2023/2/26, 45, 54, 20, 6, 5, 1
2023/2/27, 47, 57, 19, 5, 3, 
2023/2/28, 64, 41, 16, 5, 5, 
2023/3/1, 54, 41, 16, 5, 3, 
2023/3/2, 41, 42, 20, 5, 3, 1
2023/3/3, 36, 41, 15, 3, 3, 1
2023/3/4, 34, 31, 19, 4, 3, 1
2023/3/5, 41, 39, 17, 4, 3, 1
2023/3/6, 50, 27, 15, 6, 5, 1
2023/3/7, 36, 12, 9, 4, 3, 1
2023/3/8, 17, 23, 12, 6, 3, 1
2023/3/9, 27, 25, 10, 5, 6, 1
2023/3/10, 35, 17, 12, 3, 3, 1
2023/3/11, 34, 22, 13, 4, 3, 1
2023/3/12, 29, 36, 10, 5, 8, 1
2023/3/13, 45, 34, 8, 5, 7, 1
2023/3/14, 35, 25, 15, 4, 3, 1
2023/3/15, 35, 28, 15, 8, 5, 1
2023/3/16, 47, 22, 7, 5, 12, 1
2023/3/17, 33, 19, 8, 6, 9, 2
2023/3/18, 27, 23, 15, 6, 5, 1
2023/3/19, 35, 37, 16, 6, 3, 2
2023/3/20, 47, 26, 13, 3, 3, 1
2023/3/21, 34, 32, 18, 7, 4, 2
2023/3/22, 36, 31, 20, 8, 9, 2
2023/3/23, 55, 37, 25, 9, 6, 2
2023/3/24, 64, 37, 21, 8, 14, 2
2023/3/25, 66, 32, 21, 10, 13, 2
2023/3/26, 59, 35, 19, 4, 3, 2
2023/3/27, 53, 41, 23, 3, 3, 1
2023/3/28, 58, 32, 17, 5, 5, 1
2023/3/29, 52, 18, 17, 3, 7, 2
2023/3/30, 48, 53, 23, 5, 11, 1
2023/3/31, 66, 57, 23, 8, 16, 3
2023/4/1, 71, 42, 18, 8, 12, 3
2023/2/13, , 54, 12, 4, 5, 1
